id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
681,توسعه پلیمر های خاورمیانه,,,, مشتریان صنعت کامپوزیت,,, 021-88800323,,,,,56231136,,,,,88927455,,,,,88927456,,,,,,,,,,,,,,,88800376,09102018446,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 : تهران، جاده قم ،شهرک صنعتی شمس آباد،بلوار نارنجستان،گلبرگ 6،پلاک 2   آقای غیاثوند ایران تهران تهران آدرس 1 (پستی): تهران، پل کریم خان، خیابان ویلا جنوبی، جنب کوچه علایی، پلاک 158، طبقه دو، واحد 6",1598757717,,,,,,,,,,,,,,,
682,توسعه صنایع رضا,,,, مشتریان صنعت کامپوزیت,,,025-33343533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 ( پستی) : قم، شهرک صنعتی شکوهیه، فاز 2، بلوار همت 6، پلاک1264",3738116864,,,,,,,,,,,,,,,
683,توسعه و تجارت مهر آراد,,,, مشتریان صنعت کامپوزیت,,,22329034,,,,,22329089,,,,,,,,,,,,,,,,,,,,,,,,,22329077,,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، بزرگراه رسالت، خیابان شهید غلامحسین کرد، نبش کوچه بوستان، پلاک 2",,,,,,,,,,,,,,,,
684,توسعه هنر متین,,,, مشتریان صنعت کامپوزیت,,,071-38420038,,,,,071-37735081 ,,,,,071-37735083,,,,,071-38328570,,,,,,,,,,,,,,,89773496,09172228175,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) :شیراز، بلوار امیر کبیر، ساختمان حافظ، بلوک بهار، طبقه 4، واحد 10 آدرس 2: باربری شاهین: خیابان شوش ، نرسیده به میدان هرندی، روبروی بانک مسکن،   تلفن:55053016",7178773366,,,,,,,,,,,,,,,
685,توسن,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88322008,,,,,021-88322009,,,,,,,,,,,,,,,,,,,,,,,,,021-88319807,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
686,,,توفیق نیا,, مشتریان صنعت کامپوزیت,کفپوش صنعتی و مواد اولیه اپوکسی,, 021-22087448,,,,,021-2208811,,,,, 021-22136436,,,,, 021-22136435,,,,,,,,,,,,,,,,09123395247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,,حمید رضا,توکلی,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,031-36690344,,,,,33904556,,,,,,,,,,,,,,,,,,,,,,,,,,09131102331,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 :تهران،  ظهیر الاسلام ، بالاتر از پاساژ شقایق، پلاک 29 ، طبقه دوم",,,,,,,,,,,,,,,,
688,تولیدی  صنعتی آویسا پارسه زابل,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09164944500,,,,,,,,,,,,,,,,,,"آدرس2(پستی):کیلومتر25اتوبان شیراز مرودشت، شهرک صنعتی آب باریک، انتهای خیابان شقایق، شرکت آویسا پارسه آدرس 1:شهرستان نیمروز،کیلومتر3 جاده زابل نیمروز،بعداز روستای اسلام آباد، نرسیده به کانال",7341986513 9861116478,,,,,,,,,,,,,,,
689,تولیدی باخ تبریز,,,, مشتریان صنعت کامپوزیت,,,041-35561336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09141145039,,,,,,,,,,,,,,,,,,آدرس 1 :,,,,,,,,,,,,,,,,
690,تولیدی شیشه آریسا تک,,,, مشتریان صنعت کامپوزیت,,,026-33406730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026-33406770,09123506603,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : کرج، فاز 1 مهرشهر، بلوار ارم ، تقاطع خیابان 100 ، ساختمان آناهیتا، طبقه 2 ، واحد 3 آدرس 2 : کرج، شهرک صنعتی اشتهارد، بلوار غزالی غربی، گلرخ دوم، شماره 1537",3185796717,,,,,,,,,,,,,,,
691,تولیدی صنعتی سازه مرکب نواندیشان,,,, مشتریان صنعت کامپوزیت,,,76226460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76229789,,,,,,,,,,,,,,,,,,,"آدرس 2(پستی): تهران،تهرانپارس، خیابان رشید، نبش خیابان 154 غربی، پلاک73، طبقه 2، واحد8 آدرس 1 :تهران، بومهن،  خیابان شهید عسگری، نبش خیابان فروردین، پلاک 78",1651747133 1656115656,,,,,,,,,,,,,,,
692,تولیدی ماهلا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88314007,,,,,88319115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2(پستی) : تهران، میدان هفتم تیر، خیابان مفتح شمالی، برج مرجان، طبقه 4، واحد 402 ایران تهران تهران آدرس1 : تهران، کیلومتر 40 جاده خاوران  7 کیلومتر بعد از پلیس راه شریف آباد  شهرک صنعتی خوارزمی  فاز2 خیابان نارون6 ",1654698419 3393194220,,,,,,,,,,,,,,,
693, محمدی,یوسف,محمدی,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121760500,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1(پستی) : البرز، هشتگرد، جاده قدیم قزوین کرج، بعد از پلیس راه چهار باغ، ابتدای خیابان صاحب الزمان، دست راست، روبروی پارکینگ نوید ایران تهران تهران اتوبان باقری، خیابان فرجام، خیابان شهید گلشنی به سمت بالا، خیابان 192 غربی، بین عادل وزرین ، پلاک 192",3199997172,,,,,,,,,,,,,,,
694,تولیدی و صنعتی ارابه شید هیوا,,,, مشتریان صنعت کامپوزیت,,,88797973,,,,,88797976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، خیابان افریقا  چهاراه جهان کودک  نبش خیابان 25 شماره 62 طبقه هفتم واحد E7",1517944811,,,,,,,,,,,,,,,
695,تولیدی و صنعتی عقاب افشان,,,, مشتریان صنعت کامپوزیت,,,33869090,,,,,023-33653120,,,,,023-33653121,,,,,33860864,,,,,,,,,,,,,,,023-33652875,,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 1 : سمنان، کیلومتر 7 جاده دامغان, روبروی شهرک صنعتی دامغان ایران تهران تهران آدرس 2 : تهران, کیلومتر 5 جاده خاوران, بعد از گردنه تمباکویی , لاین کندرو, جنب تبان گاز , شرکت عقاب افشان آدرس 3(پستی) : سه راه تهرانپارس، ابتدای جاده آبعلی، دوربرگردون دوم، لاین کندرو ، بعد از یخساران، پلاک 65",3535133611  1658917411,,,,,,,,,,,,,,,
696,تهران فایبر,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88965263,,,,,021-88965529,,,,, 021-88953768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
697,تهران مبدل,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,77329345,,,,,77797779,,,,,77335544,,,,,77339847,,,,,77339849,,,,,,,,,,"77349197, 77335544",,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، خیابان دماوند، بعداز سه راه تهرانپارس، خیابان زهیری، جنب شرکت تویوتا،پلاک7",167651819,,,,,,,,,,,,,,,
698,تیبا سان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88715407,,,,,021-88715431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
699,رکسان شیمی,,,, مشتریان صنعت کامپوزیت,مصرف کننده,, 021-88698617,,,,,024-35284147,,,,,024-35284144,,,,,,,,,,,,,,,,,,,,"021-88698618, 024-35284145",09121546514,,,,,,,,,,,,,,,,زنجان,ابهر,"ایران زنجان ابهر  کیلومتر 5 جاده تاکستان، روبروی نیروگاه برق نورین، شرکت تیرنگ پودر پارسیان ",,,,,,,,,,,,,,,,
700,تک کمیکال,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88840094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
701,تیسان چوب ایرانیان,,,, مشتریان صنعت کامپوزیت,,,38412,,,,,021-77183217,,,,,77183218,,,,,77183217,,,,,,,,,,,,,,,,09123142280,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، شهرک صنعتی عباس آباد، خیابان 47 ،شرکت تیسان چوب ایرانیان",,,,,,,,,,,,,,,,
702,,,تیموری,, مشتریان صنعت کامپوزیت,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121676112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,تینا تایل,,عبد الحسینی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-77350202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121160241,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران فلکه دوم تهرانپارس،  خیابان جشنواره،  خیابان احسان،  چهارم غربی (ایرج شرفی)، پلاک 46",,,,,,,,,,,,,,,,
704,تیواسان,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-88715431,,,,, 021-88715407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
705,تیواصنعت,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,22829934,,,,,22814690,,,,,22814692,,,,,22829935,,,,,,,,,,,,,,,22814688,"09352001159, 09127979947",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 :تهران، پاسداران شمالی، پایین تر از سه راه اقدسیه، خیابان نارنجستان یازدهم، پلاک 4، طبقه سوم آدرس 3 ( پستی ) : آذریایجان شرقی  میانه  جاده فولاد آذربایجان جاده مخصوص شرکت گروه تیوا صنعت ایران تهران تهران آدرس 1: آذربایجان شرقی، میانه، خیابان فرمانداری، روبروی تامین اجتماعی، پلاک 18",1957644954 5317614411 5317614411,,,,,,,,,,,,,,,
706,تیواکارا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121855127,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران سه راه اقدسیه ، خیابان نارنجستان 11،  پلاک 4 ، طبقه3",,,,,,,,,,,,,,,,
707,,,ثریا,, مشتریان صنعت کامپوزیت,مصرف کننده,زن,  021-88020374,,,,,021-88361519,,,,,021-88375627,,,,, 021-88364419,,,,,,,,,,,,,,,021-88375628,09125402013,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
708,,, ثقفی,, مشتریان صنعت کامپوزیت,مصرف کننده,زن, 021-2249700,,,,,021-88779953,,,,, 021-88879698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
709,جاده سازان نامور پارس,,آزاد,, مشتریان صنعت کامپوزیت,مصرف کننده,,071-36341956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071-36341903,,,,,,,,,,,,,,,,,,,"ایران معالی آباد ، روبروی بانک صادرات ، آپارتمان قصر 2 ، طبقه دوم ، واحد 5",,,,,,,,,,,,,,,,
710,,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-44754193,,,,,021-44754192,,,,,,,,,,,,,,,,,,,,,,,,,021-44723585,09123583531,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، همت غرب، شهرک راه آهن یا گلستان، بلوارکاج(بلوار ذینعلی)، بنفشه 10، پلاک86",1494866111,,,,,,,,,,,,,,,
711,,,جاوید پور,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-3330949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121316830,,,,,,,,,,,,,,,,سمنان,سمنان,"ایران سمنان سمنان  بلوار معلم ، روبروی توانبخشی ، طبقه دوم ، بیلیارد سالار ، سرکار خانم عبدوست ",,,,,,,,,,,,,,,,
712,,,جعفری,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-33862919,,,,, 031-33863693,,,,,,,,,,,,,,,,,,,,,,,,,"031-33872978, 031-33869658",09133183594,,,,,,,,,,,,,,,,اصفهان,اصفهان,"آدرس 2: تهران، باربری کارون: فدائیان اسلام، روبروی موتوری شهرداری، جنب بیمارستان مهدیه، پلاک 1177   تلفن : 55318742 ایران اصفهان اصفهان آدرس 1(پستی): اصفهان، خیابان امام خمینی، بین خیابان امیر کبیر و شهید باباگلی، دست راست فروشگاه دنیای فایبر",8189135431,,,,,,,,,,,,,,,
713,,صمد,جعفری قیه چمن,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09128684245,,,,,,,,,,,,,,,,,,"آدرس 1 (پستی) : تهران، شهریار، ملارد، صفا دشت، کوچه شهید بابک، پلاک 63",3164355764,,,,,,,,,,,,,,,
714,,,جعفری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,021-65997475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-65997476,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شهریار، ملارد، ویلای شمالی، خیابان ارغوان، پلاک 23",,,,,,,,,,,,,,,,
715,,,,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09141503857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,جلاسنج,, گلی,, مشتریان صنعت کامپوزیت,مصرف کننده,,021-66802834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران شاد آباد، خیابان 17 شهریور، خیابان مختاری، پلاک 49 ",,,,,,,,,,,,,,,,
717,,,جلال وند,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125912680,,,,,,,,,,,,,,,,تهران,رباط کریم,"ایران تهران رباط کریم  روستای آلارد، مدرسه توفیق الصادق  هاجر",,,,,,,,,,,,,,,,
718,,شیما,جمشیدی,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09022003351,,,,,,,,,,,,,,,,,,"آدرس 1(پستی) : تهران ، شهرزیبا، خیابان شربیانی، کوچه نسیم شرقی، پلاک 31،طبقه دوم غربی",1487745939,,,,,,,,,,,,,,,
719,,,جوربندیان,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121723221,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
720,جهان کالای ایرسا,,,, مشتریان صنعت کامپوزیت,مصرف کننده,,031-36257548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09126089406,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
721,,,جهانپور,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09308199132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,,,جهانگیری ,, مشتریان صنعت کامپوزیت,مصرف کننده,,077-1355073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09173710999,,,,,,,,,,,,,,,,بوشهر,بوشهر,"آدرس 2 :تهران، باربری جهان بار : خیابان شوش غربی، نرسیده به میدان هرندی، روبروی پمپ گاز  تلفن:55058422 ایران بوشهر بوشهر آدرس 1 :بوشهر، خیابان سهل آباد، روبروی حمل و نقل کارخانجات",3199169136,,,,,,,,,,,,,,,
723,,ایرج,جهانگیری ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,031-35259593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
724,,ایرج ,جهانگیری ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131134757,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
725,,غلامرضا, جهانگیری ,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131002505,,,,,,,,,,,,,,,,هرمزگان,میناب,ایران هرمزگان میناب ,,,,,,,,,,,,,,,,
726,,محمد امین ,جهانگیری ,, مشتریان صنعت کامپوزیت,فروشنده مواد اولیه کامپوزیت,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131180739,,,,,,,,,,,,,,,,اصفهان,اصفهان,ایران اصفهان اصفهان ,,,,,,,,,,,,,,,,
727,,,جهانگیری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09358355383,,,,,,,,,,,,,,,,هرمزگان,قشم,ایران هرمزگان قشم ,,,,,,,,,,,,,,,,
728,,اکبر,جهانگیری,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09173638597,,,,,,,,,,,,,,,,,,آدرس 1 : بندر عباس آدرس 2 : باربری فارس:خیابان شوش میدان هرندی (غار)    تلفن:55186921, ,,,,,,,,,,,,,,,
729,,جابر,جهانگیری,, مشتریان صنعت کامپوزیت,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09131011839, 09390320053",,,,,,,,,,,,,,,,هرمزگان,قشم,"آدرس 2 : تهران، خزانه شمالی ، نرسیده به چهارراه هرندی، سمت راست ، باربری نگین ترابر قائم  55186909 09123123826 ایران هرمزگان قشم آدرس 1(پستی) :قشم،  روستای رمکان، جنب مدرسه صلاح الدین ایوبی ، قایق سازی جهانگیری (s)",7931444968,,,,,این آدرس پستی میباشد,,,,,,,,,,
730,,حجت الله,جهانگیری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,077-33120157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09171781839,,,,,,,,,,,,,,,,بوشهر,بوشهر,"ایران بوشهر بوشهر آدرس 1 : بوشهر، بندرگناوه، خیابان ساحلی، روبروی اسکله قدیم خارگی، کارگاه قایق سازی حجت ال... جهانگیری",411155176984,,,,,,,,,,,,,,,
731,,حسین,جهانگیری,, مشتریان صنعت کامپوزیت,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131005091,,,,,,,,,,,,,,,,,,"آدرس 2 : باربری جهان بار : خیابان شوش غربی، نرسیده به میدان هرندی، روبروی پمپ گاز  تلفن:55058422 آدرس 1 (پستی): بوشهر، دلوار، قایق سازی جهانگیری",8189956441,,,,,,,,,,,,,,,
732,,عبدالرضا,جهانگیری,, مشتریان صنعت کامپوزیت,مصرف کننده,مرد,031-35242163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09131114160,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1: اصفهان،  شاهین شهر، بزرگراه آزادگان (منطقه صنعتی ابزاران)، جنب بیسکویت بهشت، داخل کوچه، درب سوم، سمت چپ",,,,,,,,,,,,,,,,
